Province,Region,District,Tehsil,admin_unit,Gender,Age Group,Population Reporting,% of Total Population
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,UNDER 10,20562,38.5%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,UNDER 15,25846,52.3%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,UNDER 15,27909,52.2%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Female,UNDER 5,9842,19.9%
Balochistan,Rural,Chagai,Dalbandin,SUB-DIVISION,Male,UNDER 5,10713,20%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,05 - 24,7126,50.9%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,05 - 24,8790,52.9%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Tgend,05 - 24,1,100%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,15 - 49,4988,35.6%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,15 - 49,5764,34.7%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Tgend,15 - 49,1,100%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,15 - 64,5519,39.4%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,15 - 64,6481,39%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Tgend,15 - 64,1,100%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,18 - 60,4515,32.3%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,18 - 60,5081,30.6%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,18 &  ABOVE,4830,34.5%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,18 &  ABOVE,5468,32.9%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,60 &  ABOVE,337,2.4%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,60 &  ABOVE,420,2.5%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Female,65 &  ABOVE,217,1.6%
Balochistan,Rural,Chagai,Nokundi,TEHSIL,Male,65 &  ABOVE,273,1.6%
