DISTRICT,PROVINCE,hci,fci,lap,soi,archetype_tercile,archetype_median,cluster,literacy_rate_calc,urdu_pct,dependency_ratio,electrification,flush_toilet
RAWALPINDI,PUNJAB,0.884502133303582,0.17437976232733,0.690892272029791,0.659333341200426,Vanguard,Vanguard,3,0.832245284750224,0.169845375288436,0.612137906663992,0.984313627254509,0.949802605210421
RAWALPINDI,,0.884502133303582,0.17437976232733,0.690892272029791,0.659333341200426,Vanguard,Vanguard,3,0.832245284750224,0.169845375288436,0.612137906663992,0.984313627254509,0.949802605210421
TANDO ALLAHYAR,,0.377515570842917,0.509022777013831,0.369179337443411,0.441620793556429,Anchor,Anchor,4,0.398017999472496,0.0724556730281168,0.882494660889947,0.690298696688473,0.566543266223777
TANDO MUHAMMAD KHAN,SINDH,0.319715924135712,0.59425396009443,0.335480068410296,0.430032298884648,Anchor,Anchor,4,0.340249218580572,0.0140166381282863,0.824816619156071,0.396486738341284,0.347299684279336
TANDO MUHAMMAD KHAN,,0.319715924135712,0.59425396009443,0.335480068410296,0.430032298884648,Anchor,Anchor,4,0.340249218580572,0.0140166381282863,0.824816619156071,0.396486738341284,0.347299684279336
AWARAN,BALOCHISTAN,0.455415674418601,0.516342112929929,0.362912126963013,0.432945939286824,Other,Anchor,4,0.363356785128298,0.00122375082421574,1.07321678888773,0.120161174269679,0.519211397323356
KALAT,BALOCHISTAN,0.453639705642485,0.539796419345728,0.396666388743223,0.352157809322217,Other,Anchor,4,0.397017265690364,0.000883782589482987,1.18258975574863,0.420561312347059,0.414247303706837
KHUZDAR,BALOCHISTAN,0.315097744107824,0.518200244180127,0.385455627781113,0.41992909378565,Anchor,Anchor,4,0.38587973352767,0.00109906198669493,1.16887966714733,0.36030349953546,0.444645401052958
LASBELA,BALOCHISTAN,0.369596845495379,0.465757230440348,0.363780526241801,0.434466170395467,Other,Anchor,4,0.364688476359644,0.00248965946746257,0.878569142302131,0.609759475155575,0.697643220038256
MASTUNG,BALOCHISTAN,0.477093216465614,0.321439204449847,0.459457902604431,0.402039528211757,Other,Trapped,2,0.459739004826488,0.000611438705670694,1.04220683703689,0.719121180913148,0.675431971621467
SURAB,BALOCHISTAN,0.258736740557126,0.449601438879856,0.37420625086426,0.465490086076006,Other,Anchor,4,0.374394093283786,0.000501723779556906,1.25956337252616,0.471665332734691,0.492045210533508
BARKHAN,BALOCHISTAN,0.389586071779782,0.602997109211438,0.33604379897872,0.262385043337957,Anchor,Anchor,4,0.336245307231845,0.000599289413980566,1.34907209814196,0.459332841712575,0.285082201882618
