"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","LIGHT_ELECT","LIGHT_SOLAR","LIGHT_OTHERS","FUEL_GAS","FUEL_LPGCNG","FUEL_FIREWOOD","FUEL_OTHERS","SEP_KITCHEN","NO_KITCHEN"
"BALOCHISTAN","MEKRAN","GWADAR","PASNI","SUB-DIVISION","RURAL",6380,2458,2244,1678,8,1,6027,344,5446,241
"BALOCHISTAN","MEKRAN","GWADAR","PASNI","SUB-DIVISION","URBAN",7328,7227,51,50,43,634,6612,39,3529,92
"BALOCHISTAN","MEKRAN","GWADAR","SUNTSER","SUB-TEHSIL","OVERALL",2281,429,1573,279,25,14,2211,31,2038,18
"BALOCHISTAN","MEKRAN","GWADAR","SUNTSER","SUB-TEHSIL","RURAL",2281,429,1573,279,25,14,2211,31,2038,18
"BALOCHISTAN","MEKRAN","GWADAR","SUNTSER","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","HARNAI","HARNAI","SUB-DIVISION","OVERALL",10170,7023,1339,1808,45,105,9357,663,2813,3715
"BALOCHISTAN","SIBI","HARNAI","HARNAI","SUB-DIVISION","RURAL",8051,4909,1335,1807,36,23,7334,658,2099,3640
"BALOCHISTAN","SIBI","HARNAI","HARNAI","SUB-DIVISION","URBAN",2119,2114,4,1,9,82,2023,5,714,75
"BALOCHISTAN","SIBI","HARNAI","KHOAST","SUB-DIVISION","OVERALL",2212,1496,583,133,17,2,2124,69,1127,197
"BALOCHISTAN","SIBI","HARNAI","KHOAST","SUB-DIVISION","RURAL",2212,1496,583,133,17,2,2124,69,1127,197
"BALOCHISTAN","SIBI","HARNAI","KHOAST","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","HARNAI","SHAHRIG","TEHSIL","OVERALL",4011,3027,425,559,43,20,3497,451,1897,694
"BALOCHISTAN","SIBI","HARNAI","SHAHRIG","TEHSIL","RURAL",1628,1091,105,432,13,2,1284,329,385,563
"BALOCHISTAN","SIBI","HARNAI","SHAHRIG","TEHSIL","URBAN",2383,1936,320,127,30,18,2213,122,1512,131
"BALOCHISTAN","NASIRABAD","JAFFARABAD","GANDAKHA","TEHSIL","OVERALL",14259,10571,1651,2037,37,62,9385,4775,4027,8660
"BALOCHISTAN","NASIRABAD","JAFFARABAD","GANDAKHA","TEHSIL","RURAL",14259,10571,1651,2037,37,62,9385,4775,4027,8660
"BALOCHISTAN","NASIRABAD","JAFFARABAD","GANDAKHA","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","JAFFARABAD","JHAT PAT","SUB-DIVISION","OVERALL",37693,28734,3695,5264,6789,39,21439,9426,11723,16605
"BALOCHISTAN","NASIRABAD","JAFFARABAD","JHAT PAT","SUB-DIVISION","RURAL",26891,20479,2426,3986,1048,19,18240,7584,7685,13294
"BALOCHISTAN","NASIRABAD","JAFFARABAD","JHAT PAT","SUB-DIVISION","URBAN",10802,8255,1269,1278,5741,20,3199,1842,4038,3311
"BALOCHISTAN","NASIRABAD","JAFFARABAD","USTA MUHAMMAD","SUB-DIVISION","OVERALL",29610,21527,2427,5656,4390,197,12359,12664,6721,17467
"BALOCHISTAN","NASIRABAD","JAFFARABAD","USTA MUHAMMAD","SUB-DIVISION","RURAL",21613,14182,2193,5238,1177,103,9152,11181,3507,14800
"BALOCHISTAN","NASIRABAD","JAFFARABAD","USTA MUHAMMAD","SUB-DIVISION","URBAN",7997,7345,234,418,3213,94,3207,1483,3214,2667
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","GANDAWA","TEHSIL","OVERALL",11109,5387,4114,1608,54,24,10389,642,3951,4852
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","GANDAWA","TEHSIL","RURAL",7413,2303,3757,1353,35,7,6768,603,1959,4386
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","GANDAWA","TEHSIL","URBAN",3696,3084,357,255,19,17,3621,39,1992,466
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","JHAL MAGSI","TEHSIL","OVERALL",17155,8480,4550,4125,145,19,14983,2008,7192,7879
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","JHAL MAGSI","TEHSIL","RURAL",17155,8480,4550,4125,145,19,14983,2008,7192,7879
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","JHAL MAGSI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","MIRPUR","SUB-TEHSIL","OVERALL",2689,50,1270,1369,5,1,2025,658,726,1663
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","MIRPUR","SUB-TEHSIL","RURAL",2689,50,1270,1369,5,1,2025,658,726,1663
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","MIRPUR","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","OVERALL",6523,5833,357,333,119,29,6183,192,4234,447
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","RURAL",6523,5833,357,333,119,29,6183,192,4234,447
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BHAG","SUB-DIVISION","OVERALL",16312,11946,1591,2775,2165,7,12207,1933,6631,3758
"BALOCHISTAN","NASIRABAD","KACHHI","BHAG","SUB-DIVISION","RURAL",12865,8559,1579,2727,472,4,10661,1728,5353,3617
"BALOCHISTAN","NASIRABAD","KACHHI","BHAG","SUB-DIVISION","URBAN",3447,3387,12,48,1693,3,1546,205,1278,141
"BALOCHISTAN","NASIRABAD","KACHHI","DHADAR","SUB-DIVISION","OVERALL",7176,6464,496,216,1450,50,5571,105,2793,2111
"BALOCHISTAN","NASIRABAD","KACHHI","DHADAR","SUB-DIVISION","RURAL",4361,3684,483,194,131,NA,4128,102,1671,1425
"BALOCHISTAN","NASIRABAD","KACHHI","DHADAR","SUB-DIVISION","URBAN",2815,2780,13,22,1319,50,1443,3,1122,686
"BALOCHISTAN","NASIRABAD","KACHHI","KHATTAN","SUB-TEHSIL","OVERALL",2723,1879,483,361,8,NA,2311,404,898,441
"BALOCHISTAN","NASIRABAD","KACHHI","KHATTAN","SUB-TEHSIL","RURAL",2723,1879,483,361,8,NA,2311,404,898,441
"BALOCHISTAN","NASIRABAD","KACHHI","KHATTAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","MACH","SUB-DIVISION","OVERALL",5699,4873,359,467,3004,9,2559,127,3071,481
"BALOCHISTAN","NASIRABAD","KACHHI","MACH","SUB-DIVISION","RURAL",3379,2644,316,419,1096,7,2180,96,1264,463
"BALOCHISTAN","NASIRABAD","KACHHI","MACH","SUB-DIVISION","URBAN",2320,2229,43,48,1908,2,379,31,1807,18
"BALOCHISTAN","NASIRABAD","KACHHI","SANNI","SUB-DIVISION","OVERALL",11599,7755,2307,1537,163,3,10489,944,3421,1723
"BALOCHISTAN","NASIRABAD","KACHHI","SANNI","SUB-DIVISION","RURAL",11599,7755,2307,1537,163,3,10489,944,3421,1723
"BALOCHISTAN","NASIRABAD","KACHHI","SANNI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KALAT","GAZG","SUB-TEHSIL","OVERALL",1274,45,570,659,3,NA,1096,175,599,599
"BALOCHISTAN","KALAT","KALAT","GAZG","SUB-TEHSIL","RURAL",1274,45,570,659,3,NA,1096,175,599,599
"BALOCHISTAN","KALAT","KALAT","GAZG","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KALAT","JOHAN","SUB-TEHSIL","OVERALL",2486,368,1515,603,11,NA,2254,221,1352,924
"BALOCHISTAN","KALAT","KALAT","JOHAN","SUB-TEHSIL","RURAL",2486,368,1515,603,11,NA,2254,221,1352,924
"BALOCHISTAN","KALAT","KALAT","JOHAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KALAT","KALAT","SUB-DIVISION","OVERALL",20124,9647,5950,4527,188,598,18328,1010,10291,3722
"BALOCHISTAN","KALAT","KALAT","KALAT","SUB-DIVISION","RURAL",14926,4545,5903,4478,161,45,13762,958,7072,3648
"BALOCHISTAN","KALAT","KALAT","KALAT","SUB-DIVISION","URBAN",5198,5102,47,49,27,553,4566,52,3219,74
"BALOCHISTAN","KALAT","KALAT","MANGOCHAR","SUB-DIVISION","OVERALL",9217,3861,4283,1073,156,25,8490,546,4408,1319
"BALOCHISTAN","KALAT","KALAT","MANGOCHAR","SUB-DIVISION","RURAL",9217,3861,4283,1073,156,25,8490,546,4408,1319
"BALOCHISTAN","KALAT","KALAT","MANGOCHAR","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","OVERALL",14389,170,9574,4645,97,253,13357,682,11931,404
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","RURAL",14389,170,9574,4645,97,253,13357,682,11931,404
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BULAIDA","SUB-DIVISION","OVERALL",24326,14590,3963,5773,157,618,20272,3279,9511,2663
"BALOCHISTAN","MEKRAN","KECH","BULAIDA","SUB-DIVISION","RURAL",9038,3737,2000,3301,95,576,6781,1586,2939,1849
"BALOCHISTAN","MEKRAN","KECH","BULAIDA","SUB-DIVISION","URBAN",15288,10853,1963,2472,62,42,13491,1693,6572,814
"BALOCHISTAN","MEKRAN","KECH","DASHT","SUB-DIVISION","OVERALL",21083,393,12535,8155,160,1,20274,648,16178,1123
"BALOCHISTAN","MEKRAN","KECH","DASHT","SUB-DIVISION","RURAL",21083,393,12535,8155,160,1,20274,648,16178,1123
"BALOCHISTAN","MEKRAN","KECH","DASHT","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","HOSHAB","SUB-TEHSIL","OVERALL",16755,6488,4698,5569,60,25,15916,754,11054,1003
"BALOCHISTAN","MEKRAN","KECH","HOSHAB","SUB-TEHSIL","RURAL",16755,6488,4698,5569,60,25,15916,754,11054,1003
"BALOCHISTAN","MEKRAN","KECH","HOSHAB","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","MAND","TEHSIL","OVERALL",16348,15872,163,313,55,2355,13631,307,10284,316
"BALOCHISTAN","MEKRAN","KECH","MAND","TEHSIL","RURAL",16348,15872,163,313,55,2355,13631,307,10284,316
"BALOCHISTAN","MEKRAN","KECH","MAND","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","TUMP","SUB-DIVISION","OVERALL",38839,28477,1030,9332,206,4730,30919,2984,22676,4183
"BALOCHISTAN","MEKRAN","KECH","TUMP","SUB-DIVISION","RURAL",23040,14057,842,8141,117,629,20853,1441,13251,2709
"BALOCHISTAN","MEKRAN","KECH","TUMP","SUB-DIVISION","URBAN",15799,14420,188,1191,89,4101,10066,1543,9425,1474
"BALOCHISTAN","MEKRAN","KECH","TURBAT","SUB-DIVISION","OVERALL",100774,88161,5451,7162,1194,7887,87327,4366,55473,4019
"BALOCHISTAN","MEKRAN","KECH","TURBAT","SUB-DIVISION","RURAL",42826,34201,4091,4534,291,237,41357,941,24724,2472
"BALOCHISTAN","MEKRAN","KECH","TURBAT","SUB-DIVISION","URBAN",57948,53960,1360,2628,903,7650,45970,3425,30749,1547
"BALOCHISTAN","MEKRAN","KECH","ZAMORAN","SUB-TEHSIL","OVERALL",20961,398,8511,12052,128,7,18329,2497,5205,6234
"BALOCHISTAN","MEKRAN","KECH","ZAMORAN","SUB-TEHSIL","RURAL",20961,398,8511,12052,128,7,18329,2497,5205,6234
"BALOCHISTAN","MEKRAN","KECH","ZAMORAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","KHARAN","KHARAN","SUB-DIVISION","OVERALL",14023,12248,966,809,65,316,13224,418,8896,383
"BALOCHISTAN","RAKHSHAN","KHARAN","KHARAN","SUB-DIVISION","RURAL",3003,1707,723,573,10,NA,2877,116,2196,230
"BALOCHISTAN","RAKHSHAN","KHARAN","KHARAN","SUB-DIVISION","URBAN",11020,10541,243,236,55,316,10347,302,6700,153
"BALOCHISTAN","RAKHSHAN","KHARAN","PATKAIN","SUB-TEHSIL","OVERALL",3598,1240,1688,670,9,10,3568,11,2314,205
"BALOCHISTAN","RAKHSHAN","KHARAN","PATKAIN","SUB-TEHSIL","RURAL",3598,1240,1688,670,9,10,3568,11,2314,205
"BALOCHISTAN","RAKHSHAN","KHARAN","PATKAIN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","KHARAN","SAR KHARAN","SUB-DIVISION","OVERALL",11432,6638,2900,1894,79,26,10395,932,7429,853
"BALOCHISTAN","RAKHSHAN","KHARAN","SAR KHARAN","SUB-DIVISION","RURAL",11432,6638,2900,1894,79,26,10395,932,7429,853
"BALOCHISTAN","RAKHSHAN","KHARAN","SAR KHARAN","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","KHARAN","TOHMULK","SUB-TEHSIL","OVERALL",6790,1254,3032,2504,30,18,6096,646,4986,1198
"BALOCHISTAN","RAKHSHAN","KHARAN","TOHMULK","SUB-TEHSIL","RURAL",6790,1254,3032,2504,30,18,6096,646,4986,1198
