"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","SEX_AGE_GROUP_IN_YEARS","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","TRANSGENDER_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","TRANSGENDER_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN","TRANSGENDER_URBAN","AGE_GROUP_IN_YEARS"
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","UNDER 15",17924,9772,8152,NA,17924,9772,8152,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","05 - 24",15917,8790,7126,1,15917,8790,7126,1,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","15 - 49",10753,5764,4988,1,10753,5764,4988,1,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","15 - 64",12001,6481,5519,1,12001,6481,5519,1,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","18 - 60",9596,5081,4515,NA,9596,5081,4515,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","18 &  ABOVE",10298,5468,4830,NA,10298,5468,4830,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","60 &  ABOVE",757,420,337,NA,757,420,337,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","65 &  ABOVE",490,273,217,NA,490,273,217,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","ALL AGES",19259,10707,8552,NA,19259,10707,8552,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","UNDER 1",613,301,312,NA,613,301,312,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","UNDER 5",3819,1942,1877,NA,3819,1942,1877,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","UNDER 10",7446,3840,3606,NA,7446,3840,3606,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","UNDER 15",10135,5342,4793,NA,10135,5342,4793,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","05 - 24",10346,5863,4483,NA,10346,5863,4483,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","15 - 49",8156,4761,3395,NA,8156,4761,3395,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","15 - 64",8908,5212,3696,NA,8908,5212,3696,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","18 - 60",7385,4244,3141,NA,7385,4244,3141,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","18 &  ABOVE",7717,4479,3238,NA,7717,4479,3238,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","60 &  ABOVE",367,260,107,NA,367,260,107,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","65 &  ABOVE",216,153,63,NA,216,153,63,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","ALL AGES",22848,11787,11061,NA,22848,11787,11061,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","UNDER 1",479,232,247,NA,479,232,247,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","UNDER 5",4072,2042,2030,NA,4072,2042,2030,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","UNDER 10",8006,3987,4019,NA,8006,3987,4019,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","UNDER 15",11669,5935,5734,NA,11669,5935,5734,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","05 - 24",11988,6206,5782,NA,11988,6206,5782,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","15 - 49",9347,4844,4503,NA,9347,4844,4503,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","15 - 64",10550,5516,5034,NA,10550,5516,5034,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","18 - 60",8400,4299,4101,NA,8400,4299,4101,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","18 &  ABOVE",9260,4763,4497,NA,9260,4763,4497,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","60 &  ABOVE",928,506,422,NA,928,506,422,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","65 &  ABOVE",629,336,293,NA,629,336,293,NA,NA,NA,NA,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","ALL AGES",130139,71528,58610,1,NA,NA,NA,NA,130139,71528,58610,1,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","UNDER 1",2722,1634,1088,NA,NA,NA,NA,NA,2722,1634,1088,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","UNDER 5",24322,14155,10167,NA,NA,NA,NA,NA,24322,14155,10167,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","UNDER 10",46070,26327,19743,NA,NA,NA,NA,NA,46070,26327,19743,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","UNDER 15",64574,36815,27759,NA,NA,NA,NA,NA,64574,36815,27759,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","05 - 24",68978,37905,31072,1,NA,NA,NA,NA,68978,37905,31072,1,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","15 - 49",57314,30082,27231,1,NA,NA,NA,NA,57314,30082,27231,1,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","15 - 64",63132,33266,29865,1,NA,NA,NA,NA,63132,33266,29865,1,NA
