"PROVINCE","DISTRICT","AGE_GROUP","MARITAL_STATUS","ALL_SEXES_OVERALL","FEMALE_OVERALL","MALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","FEMALE_RURAL","MALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","FEMALE_URBAN","MALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","BALOCHISTAN","35 - 39","SEPERATION",758,352,406,0,592,282,310,0,166,70,96,0
"BALOCHISTAN","BALOCHISTAN","35 - 39","WIDOWED",7229,5337,1892,0,5130,3751,1379,0,2099,1586,513,0
"BALOCHISTAN","BALOCHISTAN","40 - 44","DIVORCED",999,684,315,0,660,452,208,0,339,232,107,0
"BALOCHISTAN","BALOCHISTAN","40 - 44","MARRIED",551723,261701,290022,0,377487,180040,197447,0,174236,81661,92575,0
"BALOCHISTAN","BALOCHISTAN","40 - 44","NEVER MARRIED",17895,6651,11220,24,9948,3549,6389,10,7947,3102,4831,14
"BALOCHISTAN","BALOCHISTAN","40 - 44","SEPERATION",593,299,294,0,463,241,222,0,130,58,72,0
"BALOCHISTAN","BALOCHISTAN","40 - 44","WIDOWED",10399,8124,2275,0,7196,5576,1620,0,3203,2548,655,0
"BALOCHISTAN","BALOCHISTAN","45 - 49","DIVORCED",723,460,263,0,487,297,190,0,236,163,73,0
"BALOCHISTAN","BALOCHISTAN","45 - 49","MARRIED",389254,177406,211848,0,263035,121284,141751,0,126219,56122,70097,0
"BALOCHISTAN","BALOCHISTAN","45 - 49","NEVER MARRIED",9286,3247,6021,18,5068,1700,3354,14,4218,1547,2667,4
"BALOCHISTAN","BALOCHISTAN","45 - 49","SEPERATION",526,295,231,0,396,231,165,0,130,64,66,0
"BALOCHISTAN","BALOCHISTAN","45 - 49","WIDOWED",11581,9280,2301,0,7627,6052,1575,0,3954,3228,726,0
"BALOCHISTAN","BALOCHISTAN","50 - 54","DIVORCED",497,324,173,0,331,218,113,0,166,106,60,0
"BALOCHISTAN","BALOCHISTAN","50 - 54","MARRIED",310535,142273,168262,0,212058,98258,113800,0,98477,44015,54462,0
