"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","TOILET_SEPARATE","TOILET_FLUSH","TOILET_NON_FLUSH","TOILET_NONE","WASHROOM_SEPARATE","WASHROOM_NONE"
"BALOCHISTAN","NASIRABAD","JAFFARABAD","JHAT PAT","SUB-DIVISION","RURAL",26891,9909,11762,5433,9696,8520,11800
"BALOCHISTAN","NASIRABAD","JAFFARABAD","JHAT PAT","SUB-DIVISION","URBAN",10802,5658,8335,1762,705,4935,1649
"BALOCHISTAN","NASIRABAD","JAFFARABAD","USTA MUHAMMAD","SUB-DIVISION","OVERALL",29610,10938,14463,5006,10141,8441,14298
"BALOCHISTAN","NASIRABAD","JAFFARABAD","USTA MUHAMMAD","SUB-DIVISION","RURAL",21613,6554,7362,4649,9602,4281,13302
"BALOCHISTAN","NASIRABAD","JAFFARABAD","USTA MUHAMMAD","SUB-DIVISION","URBAN",7997,4384,7101,357,539,4160,996
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","GANDAWA","TEHSIL","OVERALL",11109,5320,5157,2663,3289,4442,4514
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","GANDAWA","TEHSIL","RURAL",7413,3124,2751,1746,2916,2288,4032
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","GANDAWA","TEHSIL","URBAN",3696,2196,2406,917,373,2154,482
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","JHAL MAGSI","TEHSIL","OVERALL",17155,8169,5120,5079,6956,6683,8878
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","JHAL MAGSI","TEHSIL","RURAL",17155,8169,5120,5079,6956,6683,8878
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","JHAL MAGSI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","MIRPUR","SUB-TEHSIL","OVERALL",2689,974,435,820,1434,783,1652
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","MIRPUR","SUB-TEHSIL","RURAL",2689,974,435,820,1434,783,1652
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","MIRPUR","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","OVERALL",6523,4608,4834,1481,208,4617,261
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","RURAL",6523,4608,4834,1481,208,4617,261
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
