District,Metric,Status
Kalat,San_Flag,âœ“
Kalat,Wtr_Flag,âœ“
Khuzdar,Literacy_Flag,âœ“
Khuzdar,Attendance_Flag,âœ“
Khuzdar,Energy_Flag_Elec,âœ“
Khuzdar,San_Flag,âœ“
Khuzdar,Wtr_Flag,âœ“
Lasbela,Literacy_Flag,âœ“
Lasbela,Attendance_Flag,âœ“
Lasbela,Energy_Flag_Elec,âœ“
Lasbela,San_Flag,âœ“
Lasbela,Wtr_Flag,âœ“
Mastung,Literacy_Flag,âœ“
Mastung,Attendance_Flag,âœ“
Mastung,Energy_Flag_Elec,âœ“
Mastung,San_Flag,âœ“
Mastung,Wtr_Flag,âœ“
Surab,Literacy_Flag,âœ“
Surab,Attendance_Flag,âœ“
Surab,Energy_Flag_Elec,âœ“
Surab,San_Flag,âœ“
Surab,Wtr_Flag,âœ“
Barkhan,Literacy_Flag,âœ“
Barkhan,Attendance_Flag,âœ“
Barkhan,Energy_Flag_Elec,âœ“
Barkhan,San_Flag,âœ“
Barkhan,Wtr_Flag,âœ“
Duki,Literacy_Flag,âœ“
Duki,Attendance_Flag,âœ“
Duki,Energy_Flag_Elec,âœ“
Duki,San_Flag,âœ“
Duki,Wtr_Flag,âœ“
Loralai,Literacy_Flag,âœ“
Loralai,Attendance_Flag,âœ“
Loralai,Energy_Flag_Elec,âœ“
Loralai,San_Flag,âœ“
Loralai,Wtr_Flag,âœ“
Musakhel,Literacy_Flag,âœ“
Musakhel,Attendance_Flag,âœ“
Musakhel,Energy_Flag_Elec,âœ“
Musakhel,San_Flag,âœ“
Musakhel,Wtr_Flag,âœ“
Gwadar,Literacy_Flag,âœ“
Gwadar,Attendance_Flag,âœ“
Gwadar,Energy_Flag_Elec,âœ“
Gwadar,San_Flag,âœ“
Gwadar,Wtr_Flag,âœ“
Kech,Literacy_Flag,âœ“
Kech,Attendance_Flag,âœ“
Kech,Energy_Flag_Elec,âœ“
Kech,San_Flag,âœ“
Kech,Wtr_Flag,âœ“
Panjgur,Literacy_Flag,âœ“
Panjgur,Attendance_Flag,âœ“
Panjgur,Energy_Flag_Elec,âœ“
Panjgur,San_Flag,âœ“
Panjgur,Wtr_Flag,âœ“
Jaffarabad,Literacy_Flag,âœ“
Jaffarabad,Attendance_Flag,âœ“
Jaffarabad,Energy_Flag_Elec,âœ“
Jaffarabad,San_Flag,âœ“
