"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","DRINK_WTR_IMPROVE","DRINK_WTR_INSIDE","DRINK_WTR_OUTSIDE","DRINK_WTR_TAP","DRINK_WTR_MOTOR","DRINK_WTR_WELL","DRINK_WTR_FILTER","DRINK_WTR_BOTTLE","DRINK_WTR_OTHER"
"BALOCHISTAN","MEKRAN","GWADAR","SUNTSER","SUB-TEHSIL","RURAL",2281,1729,438,1843,1349,328,253,NA,4,347
"BALOCHISTAN","MEKRAN","GWADAR","SUNTSER","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","HARNAI","HARNAI","SUB-DIVISION","OVERALL",10170,5487,5571,4599,2075,910,2659,1,18,4507
"BALOCHISTAN","SIBI","HARNAI","HARNAI","SUB-DIVISION","RURAL",8051,3422,3562,4489,1445,499,1609,1,12,4485
"BALOCHISTAN","SIBI","HARNAI","HARNAI","SUB-DIVISION","URBAN",2119,2065,2009,110,630,411,1050,NA,6,22
"BALOCHISTAN","SIBI","HARNAI","KHOAST","SUB-DIVISION","OVERALL",2212,874,734,1478,231,254,358,NA,1,1368
"BALOCHISTAN","SIBI","HARNAI","KHOAST","SUB-DIVISION","RURAL",2212,874,734,1478,231,254,358,NA,1,1368
"BALOCHISTAN","SIBI","HARNAI","KHOAST","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","HARNAI","SHAHRIG","TEHSIL","OVERALL",4011,2316,2038,1973,958,303,799,NA,7,1944
"BALOCHISTAN","SIBI","HARNAI","SHAHRIG","TEHSIL","RURAL",1628,427,440,1188,150,16,273,NA,1,1188
"BALOCHISTAN","SIBI","HARNAI","SHAHRIG","TEHSIL","URBAN",2383,1889,1598,785,808,287,526,NA,6,756
"BALOCHISTAN","NASIRABAD","JAFFARABAD","GANDAKHA","TEHSIL","OVERALL",14259,2533,320,13939,1720,515,386,22,43,11573
"BALOCHISTAN","NASIRABAD","JAFFARABAD","GANDAKHA","TEHSIL","RURAL",14259,2533,320,13939,1720,515,386,22,43,11573
"BALOCHISTAN","NASIRABAD","JAFFARABAD","GANDAKHA","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","JAFFARABAD","JHAT PAT","SUB-DIVISION","OVERALL",37693,19479,13618,24075,10877,6782,4101,205,19,15709
"BALOCHISTAN","NASIRABAD","JAFFARABAD","JHAT PAT","SUB-DIVISION","RURAL",26891,10004,5900,20991,5107,3584,3495,90,15,14600
"BALOCHISTAN","NASIRABAD","JAFFARABAD","JHAT PAT","SUB-DIVISION","URBAN",10802,9475,7718,3084,5770,3198,606,115,4,1109
"BALOCHISTAN","NASIRABAD","JAFFARABAD","USTA MUHAMMAD","SUB-DIVISION","OVERALL",29610,17453,5881,23729,9242,5896,287,34,229,13922
"BALOCHISTAN","NASIRABAD","JAFFARABAD","USTA MUHAMMAD","SUB-DIVISION","RURAL",21613,10091,2814,18799,5534,3490,120,30,60,12379
"BALOCHISTAN","NASIRABAD","JAFFARABAD","USTA MUHAMMAD","SUB-DIVISION","URBAN",7997,7362,3067,4930,3708,2406,167,4,169,1543
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","GANDAWA","TEHSIL","OVERALL",11109,5548,3665,7444,3942,1035,498,NA,34,5600
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","GANDAWA","TEHSIL","RURAL",7413,2856,1554,5859,1436,1015,474,NA,32,4456
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","GANDAWA","TEHSIL","URBAN",3696,2692,2111,1585,2506,20,24,NA,2,1144
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","JHAL MAGSI","TEHSIL","OVERALL",17155,6346,1917,15238,1394,3416,1614,44,64,10623
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","JHAL MAGSI","TEHSIL","RURAL",17155,6346,1917,15238,1394,3416,1614,44,64,10623
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","JHAL MAGSI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","MIRPUR","SUB-TEHSIL","OVERALL",2689,259,70,2619,14,13,384,1,2,2275
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","MIRPUR","SUB-TEHSIL","RURAL",2689,259,70,2619,14,13,384,1,2,2275
"BALOCHISTAN","NASIRABAD","JHAL MAGSI","MIRPUR","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","OVERALL",6523,1731,1053,5470,487,1022,66,2,9,4937
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","RURAL",6523,1731,1053,5470,487,1022,66,2,9,4937
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BHAG","SUB-DIVISION","OVERALL",16312,371,301,16011,27,165,839,67,9,15205
"BALOCHISTAN","NASIRABAD","KACHHI","BHAG","SUB-DIVISION","RURAL",12865,332,284,12581,23,133,818,66,8,11817
"BALOCHISTAN","NASIRABAD","KACHHI","BHAG","SUB-DIVISION","URBAN",3447,39,17,3430,4,32,21,1,1,3388
"BALOCHISTAN","NASIRABAD","KACHHI","DHADAR","SUB-DIVISION","OVERALL",7176,3065,2688,4488,2583,161,199,1,4,4228
"BALOCHISTAN","NASIRABAD","KACHHI","DHADAR","SUB-DIVISION","RURAL",4361,1371,1012,3349,910,143,196,1,4,3107
"BALOCHISTAN","NASIRABAD","KACHHI","DHADAR","SUB-DIVISION","URBAN",2815,1694,1676,1139,1673,18,3,NA,NA,1121
"BALOCHISTAN","NASIRABAD","KACHHI","KHATTAN","SUB-TEHSIL","OVERALL",2723,59,34,2689,11,22,102,9,1,2578
"BALOCHISTAN","NASIRABAD","KACHHI","KHATTAN","SUB-TEHSIL","RURAL",2723,59,34,2689,11,22,102,9,1,2578
"BALOCHISTAN","NASIRABAD","KACHHI","KHATTAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","MACH","SUB-DIVISION","OVERALL",5699,4574,3525,2174,3239,399,460,NA,NA,1601
"BALOCHISTAN","NASIRABAD","KACHHI","MACH","SUB-DIVISION","RURAL",3379,2323,1325,2054,1077,367,389,NA,NA,1546
"BALOCHISTAN","NASIRABAD","KACHHI","MACH","SUB-DIVISION","URBAN",2320,2251,2200,120,2162,32,71,NA,NA,55
"BALOCHISTAN","NASIRABAD","KACHHI","SANNI","SUB-DIVISION","OVERALL",11599,3878,3329,8270,2036,878,1147,5,59,7474
"BALOCHISTAN","NASIRABAD","KACHHI","SANNI","SUB-DIVISION","RURAL",11599,3878,3329,8270,2036,878,1147,5,59,7474
"BALOCHISTAN","NASIRABAD","KACHHI","SANNI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KALAT","GAZG","SUB-TEHSIL","OVERALL",1274,170,60,1214,93,36,156,NA,NA,989
"BALOCHISTAN","KALAT","KALAT","GAZG","SUB-TEHSIL","RURAL",1274,170,60,1214,93,36,156,NA,NA,989
